en,vi,aliases_en,notes,needs_review
Objects stored in Gringotts Wizarding Bank,Vật gửi tại Ngân hàng Phù thủy Gringotts,,,
Order of Merlin recipients,Người nhận Huân chương Merlin,Order of Merlin recipient,,
Phoenix feather wands,Đũa phép lõi lông phượng hoàng,,,
Prisons,Nhà tù,,,
Quidditch in England,Quidditch ở Anh,,,
Surrey,Surrey,,,
Sybill Trelawney's possessions,Đồ vật của Sybill Trelawney,,,
Symbols,Biểu tượng,,,
The Burrow,Hang Sóc,,,
Three Broomsticks Inn,Quán trọ Ba Cây Chổi,,Quán Ba Cây Chổi,
Train stations,Nhà ga,,,
Underground Chambers,Phòng dưới lòng đất,Underground Chamber,,TRUE
Unforgivable Curses,Lời nguyền Không thể Tha thứ,Unforgivable Curse,,
Unidentified 19th-century Hogwarts student's documents,Tài liệu của học sinh Hogwarts thế kỷ 19 không rõ tên,Unidentified 19th-century Hogwarts student's document,,
1981 deaths,Mất năm 1981,1981 death,,
1998 deaths,Mất năm 1998,1998 death,,
Africa,Châu Phi,,,
Animagi,Người Hóa Thú,Animagus,Hoá Thú Sư,
Australia,Úc,,Úc Đại Lợi,
Books by Gilderoy Lockhart,Sách của Gilderoy Lockhart,,,
British Ministers for Magic,Bộ trưởng Bộ Pháp Thuật Anh,British Minister for Magic,Bộ trưởng Bộ Pháp Thuật,
Condiments and seasonings,Gia vị,,,
Conferences,Hội nghị,Conference,,
Dolores Umbridge's possessions,Đồ vật của Dolores Umbridge,Dolores Umbridge's possession,,
Forests,Rừng,Forest,,
LGBT individuals,Người LGBT,LGBT individual,,TRUE
Murder,Án mạng,,vụ giết người;giết người,
Room of Requirement,Phòng Cần Thiết,,,
Second Wizarding War,Cuộc chiến Phù thủy lần thứ hai,,,
Sirius Black's possessions,Đồ vật của Sirius Black,Sirius Black's possession,,
Sorted in the 2000s,Được phân loại vào thập niên 2000,,,
Stones,Đá,Stone,,
Transformation victims,Nạn nhân của thuật Biến hình,Transformation victim,,
Wedding of William Weasley and Fleur Delacour,Đám cưới của Bill Weasley và Fleur Delacour,,đám cưới của Bill,
Wizengamot,Tòa án Pháp sư Tối cao,,Hội đồng Pháp thuật,
WonderWitch,Phù Thủy Tuyệt Vời,,,
2000s births,Sinh vào thập niên 2000,2000s birth,,
